Reference_GAVIA,ReferenceID,Reference_Full,
"{Able, 1998 #845}",845,"Able, K. P., & Belthoff, J. R. (1998). Rapid 'evolution' of migratory behaviour in the introduced house finch of eastern North America. Proc. R. Soc. Lond. B, 265, 2063-2071. ",
"{Africa, 2011 #473}",473,"Africa, S. (2011). Invasive alien bird species pose a threat. The Definitive Kruger Park Guide 2011  Retrieved 22.09.11, 2011, from http://www.krugerpark.co.za/krugerpark-times-3-6-bird-threat-22588.html",
"{Allan, 2005 #459}",459,"Allan, D. G., & Davies, G. B. (2005). Breeding biology of House Crows (Corvus splendens) in Durban, South Africa. Ostrich, 76, 21-31. ",
"{Allen, 2006 #141}",141,"Allen, C. R. (2006). Predictors of introduction success in the South Florida avifauna. Biological Invasions, 8, 491-500. ",
"{AMCEP/UNEP, 2006 #354}",354,"AMCEP/UNEP (Ed.). (2006). Africa Environment Outlook 2 (UNEP Job No. DEW/0801/NA ed.). Nairobi, Kenya: United Nations Environment Programme.",
"{Amerson, 1976 #525}",525,"Amerson, J., A.B. , & Shelton, P. C. (1976). The natural history of Johnston Atoll, central Pacific Ocean Atoll Research Bulletin. Washington, D.C.: The Smithsonian Institution ",
"{Andreotti, 2001 #449}",449,"Andreotti, A., Baccetti, N., Perfetti, A., Besa, M., Genovesi, P., & Guberti, V. (2001). Alien mammals and birds in Italy: survey, impacts on biodiversity and management guidelines. Quaderni di Conservazione della Natura. ",
"{Anonymous, 1992 #35}",35,"Anonymous. (1992). Alexandrine Parakeet, Arabia's newest breeding parrot? The Phoenix, 9, 4. ",
"{Anonymous, 2005 #36}",36,"Anonymous. (2005). Red Bishop - New breeding exotic? The Phoenix, 21, 4. ",
"{Anselin, 1996 #115}",115,"Anselin, A., Geers, V., & Kuijken, E. (1996). Population trends and ecology of the Canada goose Branta canadensis in Flanders, Belgium. In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds. London: HMSO.",
"{Anthony, 1997 #798}",798,"Anthony, M. (1997). Historical Dictionary of Trinidad and Tobago. London: The Scarecrow Press, Inc.",
"{Antos, 2006 #527}",527,"Antos, M. J., Fitzsimons, J. A., Palmer, G. C., & White, J. (2006). Introduced birds in urban remnant vegetation: does remnant size really matter? Austral ecology, 31(2), 254-261. ",
